id_themeal,id_foodb,public_id_food
411,44,FOOD00044,Pecan Nuts
412,695,FOOD00673,Maple Syrup
413,853,FOOD00824,Light Brown Soft Sugar
414,853,FOOD00824,Dark Brown Soft Sugar
415,710,FOOD00688,Dark Chocolate Chips
416,893,FOOD00863,Milk Chocolate
417,710,FOOD00688,Dark Chocolate
418,918,FOOD00886,Pumpkin
419,660,FOOD00641,Shortcrust Pastry
420,974,FOOD00942,Peanut Cookies
421,517,FOOD00506,Gelatine Leafs
422,974,FOOD00942,Peanut Brittle
423,,,Peaches
424,910,FOOD00878,Yellow Pepper
425,909,FOOD00877,Green Pepper
426,,,Courgettes
427,171,FOOD00171,Tinned Tomatos
428,45,FOOD00045,Chestnuts
429,236,FOOD00236,Wild Mushrooms
430,804,FOOD00779,Truffle Oil
431,,,Paneer
432,269,FOOD00269,Naan Bread
433,98,FOOD00098,Lentils
434,885,FOOD00855,Roasted Vegetables
435,730,FOOD00706,Kidney Beans
436,796,FOOD00771,Mixed Grain
437,,,Tahini
438,733,FOOD00709,Tortillas
439,,,Udon Noodles
440,2,FOOD00002,Cabbage
441,883,FOOD00853,Shiitake Mushrooms
442,,,Mirin
443,979,FOOD00947,Sesame Seed Oil
444,,,Baguette
445,138,FOOD00138,Vine Tomatoes
446,,,Suet
447,28,FOOD00028,Swede
448,417,FOOD00411,Ham
449,361,FOOD00356,Oysters
450,,,Stout
451,703,FOOD00681,Lard
452,483,FOOD00473,Lamb Kidney
453,25,FOOD00025,Beef Kidney
454,602,FOOD00588,Haddock
455,602,FOOD00588,Smoked Haddock
456,32,FOOD00032,Brussels Sprouts
457,845,FOOD00817,Raisins
458,213,FOOD00213,Currants
459,740,FOOD00716,Custard
460,796,FOOD00771,Mixed Peel
461,156,FOOD00156,Redcurrants
462,,,Blackberries
463,,,Hazlenuts
464,14,FOOD00014,Braeburn Apples
465,657,FOOD00639,Red Food Colouring
466,657,FOOD00639,Pink Food Colouring
467,657,FOOD00639,Blue Food Colouring
468,657,FOOD00639,Yellow Food Colouring
469,144,FOOD00144,Apricot Jam
470,663,FOOD00644,Marzipan
471,148,FOOD00148,Almonds
472,1000,FOOD00968,Black Pudding
473,730,FOOD00706,Baked Beans
474,1019,FOOD00987,White Flour
475,,,Yeast
476,23,FOOD00023,Fruit Mix
477,23,FOOD00023,Dried Fruit
478,145,FOOD00145,Cherry
479,145,FOOD00145,Glace Cherry
480,,,Treacle
481,,,Oatmeal
482,22,FOOD00022,Oats
483,951,FOOD00919,Egg
484,25,FOOD00025,Beef Shin
485,,,Bouquet Garni
486,641,FOOD00624,Single Cream
487,943,FOOD00911,Red Wine Jelly
488,14,FOOD00014,Apples
489,735,FOOD00711,Goats Cheese
490,,,Prosciutto
491,706,FOOD00684,Unsalted Butter
492,,,Brie
493,249,FOOD00249,Tarragon Leaves
494,216,FOOD00216,Chives
495,152,FOOD00152,Pears
496,710,FOOD00688,White Chocolate
497,90,FOOD00090,Star Anise
498,,,Tiger Prawns
499,700,FOOD00678,Custard Powder
500,973,FOOD00941,Desiccated Coconut
501,754,FOOD00729,Frozen Peas
502,647,FOOD00630,Minced Pork
503,976,FOOD00944,Creamed Corn
504,,,Sun-Dried Tomatoes
505,27,FOOD00027,Dijon Mustard
506,716,FOOD00694,Tabasco Sauce
507,954,FOOD00922,Canola Oil
508,342,FOOD00337,Cod
509,342,FOOD00337,Salt Cod
510,,,Ackee
511,,,Jerk
512,25,FOOD00025,Ground Beef
513,690,FOOD00668,Baby Aubergine
514,235,FOOD00235,Paella Rice
515,,,Scotch Bonnet
516,,,Oxtail
517,197,FOOD00197,Broad Beans
518,913,FOOD00881,Red Snapper
519,645,FOOD00628,Malt Vinegar
520,235,FOOD00235,Rice Vinegar
521,337,FOOD00332,Water Chestnut
522,718,FOOD00696,Tofu
523,,,Doubanjiang
524,715,FOOD00693,Fermented Black Beans
525,,,Scallions
526,909,FOOD00877,Sichuan Pepper
527,846,FOOD00818,Wonton Skin
528,,,Starch
529,235,FOOD00235,Rice wine
530,278,FOOD00277,Cooking wine
531,358,FOOD00353,Duck Sauce
532,,,Gochujang
533,32,FOOD00032,Bean Sprouts
534,,,Noodles
535,560,FOOD00546,Wood Ear Mushrooms
536,646,FOOD00629,Dark Rum
537,646,FOOD00629,Light Rum
538,646,FOOD00629,Rum
539,,,English Muffins
540,,,Muffins
541,949,FOOD00917,White Wine Vinegar
542,460,FOOD00450,Smoked Salmon
543,725,FOOD00701,Mars Bar
544,235,FOOD00235,Rice Krispies
545,,,Ancho Chillies
546,969,FOOD00937,Almond Milk
548,288,FOOD00287,Allspice
550,969,FOOD00937,Almond Extract
552,,,Tripe
553,541,FOOD00529,Goat Meat
554,730,FOOD00706,Black Beans
555,367,FOOD00362,Anchovy Fillet
556,362,FOOD00357,Ras el hanout
557,660,FOOD00641,Filo Pastry
558,56,FOOD00056,Orange Blossom Water
559,362,FOOD00357,Candied Peel
560,,,Grand Marnier
561,649,FOOD00632,Sherry
562,337,FOOD00332,Rose water
563,796,FOOD00771,Mixed Spice
564,,,Mincemeat
565,913,FOOD00881,Sweet Potatoes
566,269,FOOD00269,Bread Rolls
567,,,Bun
568,92,FOOD00092,Potatoe Buns
569,647,FOOD00630,Ground Pork
570,647,FOOD00630,Pork Chops
571,795,FOOD00770,Yukon Gold Potatoes
572,6,FOOD00006,Yellow Onion
573,25,FOOD00025,Beef Stock Concentrate
574,334,FOOD00329,Chicken Stock Concentrate
575,474,FOOD00464,Persian Cucumber
576,,,Mayonnaise
577,,,Sriracha
578,154,FOOD00154,Rhubarb
579,829,FOOD00802,Pita Bread
580,187,FOOD00187,Bulgur Wheat
581,450,FOOD00441,Quinoa
582,13,FOOD00013,Dill Pickles
583,313,FOOD00310,Sesame Seed Burger Buns
585,,,Buns
586,1005,FOOD00973,Iceberg Lettuce
587,789,FOOD00764,Gherkin Relish
588,735,FOOD00711,Cheese Slices
589,808,FOOD00783,Shortening
590,337,FOOD00332,Warm Water
591,337,FOOD00332,Boiling Water
592,788,FOOD00763,Pickle Juice
593,676,FOOD00656,Powdered Sugar
594,,,Kielbasa
595,671,FOOD00652,Polish Sausage
596,,,Sauerkraut
597,313,FOOD00310,Caraway Seed
598,293,FOOD00292,Herring
599,417,FOOD00411,Jam
600,,,Mulukhiyah
601,235,FOOD00235,Sushi Rice
602,81,FOOD00081,Figs
603,629,FOOD00615,Cider
604,264,FOOD00264,Beetroot
605,471,FOOD00461,Sardines
606,,,Ciabatta
607,79,FOOD00079,Buckwheat
608,143,FOOD00143,Prunes
