compound_id,public_id,name
439,FDB000439,O-Methylcorypalline
440,FDB000440,alpha-Solanigrine
441,FDB000441,gamma2-Solamarine
442,FDB000442,2'-Hydroxydaidzein
443,FDB000443,Solacauline
444,FDB000444,"(E,E)-Trichostachine"
445,FDB000445,L-Tyrosine ethyl ester hydrochloride
446,FDB000446,L-Tyrosine
447,FDB000447,Papaverine
449,FDB000449,Piperine
450,FDB000450,Chavicine
451,FDB000451,Isochavicine
452,FDB000452,Isopiperine
453,FDB000453,Theophylline
455,FDB000455,Theobromine
460,FDB000460,Chlorogenoquinone
461,FDB000461,L-Saccharopine
463,FDB000463,L-Stachydrine
467,FDB000467,Isodesmosine
468,FDB000468,L-3-Aminodihydro-2(3H)-furanone
474,FDB000474,L-Lysine
475,FDB000475,L-Lysine hydrochloride
476,FDB000476,N6-Acetyl-L-lysine
477,FDB000477,"1-(3,4-Dimethoxyphenyl)ethanone"
479,FDB000479,gamma-L-Glutamyl-S-(2-carboxy-1-propyl)cysteinylglycine
480,FDB000480,Homoglutathione
482,FDB000482,N-gamma-L-Glutamyl-L-isoleucine
483,FDB000483,N-gamma-L-Glutamyl-L-valine
484,FDB000484,Glycine
488,FDB000488,Ochratoxin A
491,FDB000491,L-2-Amino-3-(oxalylamino)propanoic acid
493,FDB000493,"(S)-a-Amino-2,5-dihydro-5-oxo-4-isoxazolepropanoic acid N2-glucoside"
494,FDB000494,Neobetanin
495,FDB000495,Amaranthin
496,FDB000496,Betanidin
497,FDB000497,Betanin
499,FDB000499,2-Acetyl-3-ethylpyrazine
500,FDB000500,Prebetanin
501,FDB000501,Isobetanidin
504,FDB000504,L-2-Amino-4-(aminooxy)butanoic acid
505,FDB000505,L-Canavanine
508,FDB000508,"NG,NG-Dimethyl-L-arginine"
509,FDB000509,"NG,N'G-Dimethyl-L-arginine"
512,FDB000512,Cycloalliin
514,FDB000514,Syringic acid
515,FDB000515,Thaumatin
516,FDB000516,Desmosine
518,FDB000518,"(3b,4b,5a,24Z)-4-Methylstigmasta-7,24(28)-dien-3-ol"
520,FDB000520,L-Histidine trimethylbetaine
521,FDB000521,Homoserine
522,FDB000522,L-Homoserine
523,FDB000523,O-Acetylhomoserine
524,FDB000524,L-4-Hydroxyglutamine
525,FDB000525,L-cis-4-(Hydroxymethyl)-2-pyrrolidinecarboxylic acid
529,FDB000529,L-Hypoglycin A
530,FDB000530,Hypoglycin B
534,FDB000534,S-Methylcysteine sulfoxide
537,FDB000537,L-4-Methylene-2-pyrrolidinecarboxylic acid
538,FDB000538,(±)-4-Methylene-2-pyrrolidinecarboxylic acid
540,FDB000540,Lysozyme
545,FDB000545,Pipecolic acid
546,FDB000546,L-Pipecolic acid
547,FDB000547,Deoxyalliin
549,FDB000549,Isoalliin
550,FDB000550,S-Propylcysteine sulfoxide
551,FDB000551,(R)C(R)S-S-Propylcysteine sulfoxide
552,FDB000552,(R)C(S)S-S-Propylcysteine sulfoxide
556,FDB000556,L-Alanine
557,FDB000557,(±)-Alanine
558,FDB000558,Alliin
561,FDB000561,2-Amino-4-hydroxy-3-methylpentanoic acid
562,FDB000562,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid"
565,FDB000565,alpha-Tocopherol
567,FDB000567,L-DOPA
568,FDB000568,L-DOPA 3'-glucoside
569,FDB000569,Aspartame
570,FDB000570,L-Proline
571,FDB000571,Carnitine
572,FDB000572,L-carnitine
574,FDB000574,Pyridoxine
575,FDB000575,Pyridoxine hydrochloride
578,FDB000578,Xanthotoxol
579,FDB000579,Oryzarol
586,FDB000586,Erosnin
588,FDB000588,Eugenitin
